Company Name,Address,City,State,Industry,Square Feet,Year Built,Energy Cost,Contact Name,Contact Email,Contact Phone,Contact Title
SM Mall of Asia,J.W. Diokno Blvd,Pasay City,Metro Manila,retail,4300000,2006,"$12000000",Property Manager,facilities@smmoa.com.ph,+63-2-8556-0680,Facilities Director
Ayala Malls Greenbelt,Ayala Center,Makati City,Metro Manila,retail,1200000,2002,"$4500000",Building Admin,admin@greenbelt.com.ph,+63-2-7757-5252,Mall Operations Manager
Robinsons Galleria,EDSA corner Ortigas Ave,Quezon City,Metro Manila,retail,1100000,1990,"$4200000",Engineering Dept,engineering@robinsonsmalls.com,+63-2-8635-7631,Chief Engineer
SM Megamall,EDSA corner Julia Vargas,Mandaluyong,Metro Manila,retail,3500000,1991,"$10000000",Facilities Mgmt,facilities@smmegamall.com,+63-2-8633-7979,VP Operations
Shangri-La Plaza,EDSA corner Shaw Blvd,Mandaluyong,Metro Manila,retail,900000,1991,"$3800000",Property Mgmt,propmgmt@shangrila-plaza.com,+63-2-8370-2597,Building Manager
Power Plant Mall,Rockwell Center,Makati City,Metro Manila,retail,550000,2000,"$2100000",Operations,ops@rockwell.com.ph,+63-2-8898-1702,Operations Director
Festival Supermall,Filinvest Corporate City,Muntinlupa,Metro Manila,retail,1300000,1998,"$4800000",Engineering,eng@festivalmall.com.ph,+63-2-8850-0888,Chief Engineer
TriNoma Mall,North Ave corner EDSA,Quezon City,Metro Manila,retail,800000,2007,"$3200000",Facilities,facilities@trinoma.com,+63-2-8901-3333,Facilities Manager
Eastwood Mall,Eastwood City,Quezon City,Metro Manila,retail,650000,2004,"$2600000",Admin Office,admin@eastwood.com.ph,+63-2-8709-9888,Building Admin
Lucky Chinatown Mall,Reina Regente St,Binondo Manila,Metro Manila,retail,720000,2012,"$2800000",Property Mgmt,propmgmt@luckychinatown.com,+63-2-8241-8888,Property Manager
The Podium,ADB Avenue,Mandaluyong,Metro Manila,office,450000,2002,"$1800000",Building Mgmt,bldgmgmt@thepodium.com.ph,+63-2-8638-8888,Building Manager
Ayala Tower One,Ayala Ave,Makati City,Metro Manila,office,550000,1996,"$2200000",Property Admin,admin@ayalatowerone.com,+63-2-8848-5000,Property Director
GT Tower International,Ayala Ave corner H.V. Dela Costa,Makati City,Metro Manila,office,420000,2000,"$1700000",Facilities,facilities@gttower.com.ph,+63-2-8816-0718,Facilities Head
RCBC Plaza,Ayala Ave,Makati City,Metro Manila,office,750000,2001,"$3000000",Building Admin,admin@rcbcplaza.com,+63-2-8878-4000,Senior Facilities Manager
One Rockwell,Rockwell Center,Makati City,Metro Manila,office,380000,2003,"$1500000",Property Mgmt,property@onerockwell.com,+63-2-8898-2888,Property Manager
Zuellig Building,Makati Ave corner Paseo de Roxas,Makati City,Metro Manila,office,500000,2012,"$1900000",Admin,admin@zuelligbuilding.com,+63-2-8519-9100,Building Director
Net One Center,26th St corner 3rd Ave BGC,Taguig,Metro Manila,office,320000,2010,"$1300000",Facilities,facilities@netonecenter.com,+63-2-8479-5000,Facilities Manager
W Fifth Avenue,5th Ave BGC,Taguig,Metro Manila,office,280000,2015,"$1100000",Building Ops,ops@wfifthave.com,+63-2-8811-0000,Operations Manager
Jollibee Tower,F. Ortigas Jr. Rd BGC,Taguig,Metro Manila,office,600000,2019,"$2000000",Corporate Facilities,facilities@jollibeetower.com,+63-2-8634-1111,Corp Facilities Head
Robinsons Cybergate,EDSA,Mandaluyong,Metro Manila,office,350000,2004,"$1400000",Engineering,eng@robinsoncybergate.com,+63-2-8637-0000,Chief Engineer
Philippine General Hospital,Taft Avenue,Manila,Metro Manila,healthcare,850000,1941,"$5500000",Engineering Dept,engineering@pgh.gov.ph,+63-2-8554-8400,Hospital Engineer
St. Luke's Medical Center BGC,Rizal Dr. corner 32nd St,Taguig,Metro Manila,healthcare,1100000,2010,"$7200000",Facilities Mgmt,facilities@stlukes.com.ph,+63-2-8789-7700,Director of Facilities
Makati Medical Center,Amorsolo St,Makati City,Metro Manila,healthcare,650000,1969,"$4500000",Engineering,engineering@makatimed.net.ph,+63-2-8888-8999,Chief Engineer
The Medical City,Ortigas Ave,Pasig City,Metro Manila,healthcare,700000,1967,"$4800000",Facilities,facilities@themedicalcity.com,+63-2-8988-1000,VP Facilities
Manila Doctors Hospital,UN Avenue,Manila,Metro Manila,healthcare,400000,1956,"$2800000",Building Mgmt,bldgmgmt@maniladoctors.com.ph,+63-2-8524-3011,Building Manager
Asian Hospital and Medical Center,Filinvest Corporate City,Muntinlupa,Metro Manila,healthcare,520000,2002,"$3500000",Engineering,eng@asianhospital.com,+63-2-8771-9000,Plant Engineer
Cardinal Santos Medical Center,Wilson St,San Juan,Metro Manila,healthcare,380000,1974,"$2600000",Facilities,facilities@cardinalsantos.com.ph,+63-2-8727-0001,Facilities Manager
East Avenue Medical Center,East Avenue,Quezon City,Metro Manila,healthcare,450000,1978,"$3000000",Engineering Dept,engineering@eamc.gov.ph,+63-2-8928-0611,Hospital Engineer
Philippine Heart Center,East Avenue,Quezon City,Metro Manila,healthcare,500000,1975,"$3400000",Facilities Mgmt,facilities@phc.gov.ph,+63-2-8925-2401,Chief of Facilities
Veterans Memorial Medical Center,North Avenue,Quezon City,Metro Manila,healthcare,600000,1955,"$3800000",Engineering,engineering@vmmc.gov.ph,+63-2-8927-2071,Plant Engineer
Manila Hotel,One Rizal Park,Manila,Metro Manila,hospitality,700000,1912,"$4500000",Engineering Dept,engineering@manila-hotel.com.ph,+63-2-8527-0011,Chief Engineer
Shangri-La at the Fort,30th St corner 5th Ave BGC,Taguig,Metro Manila,hospitality,550000,2016,"$3800000",Facilities,facilities@shangri-la.com,+63-2-8820-0888,Director of Engineering
Sofitel Philippine Plaza,CCP Complex,Pasay City,Metro Manila,hospitality,480000,1976,"$3200000",Engineering,engineering@sofitelmanila.com,+63-2-8551-5555,Chief Engineer
Makati Shangri-La,Ayala Ave corner Makati Ave,Makati City,Metro Manila,hospitality,520000,1993,"$3500000",Facilities Mgmt,facilities@makati.shangri-la.com,+63-2-8813-8888,Director Engineering
Peninsula Manila,Corner Ayala and Makati Ave,Makati City,Metro Manila,hospitality,450000,1976,"$3000000",Engineering,engineering@peninsula.com,+63-2-8887-2888,Chief Engineer
Raffles Makati,1 Raffles Drive,Makati City,Metro Manila,hospitality,350000,2013,"$2400000",Facilities,facilities@raffles.com,+63-2-7795-0707,Facilities Director
Marriott Grand Ballroom Hotel,10 Newport Blvd,Pasay City,Metro Manila,hospitality,420000,2009,"$2900000",Engineering,engineering@marriottmanila.com,+63-2-8988-9999,Building Engineer
Okada Manila,New Seaside Drive,Paranaque,Metro Manila,hospitality,2100000,2017,"$8500000",Facilities Mgmt,facilities@okadamanila.com,+63-2-8888-0777,VP Facilities
Solaire Resort and Casino,1 Aseana Ave,Paranaque,Metro Manila,hospitality,1800000,2013,"$7200000",Engineering Dept,engineering@solaireresort.com,+63-2-8888-8888,Director of Engineering
City of Dreams Manila,Aseana Blvd,Paranaque,Metro Manila,hospitality,1500000,2015,"$6000000",Facilities,facilities@cityofdreams.com.ph,+63-2-8800-8080,Chief Engineer
Resorts World Manila,Newport Blvd,Pasay City,Metro Manila,hospitality,1600000,2009,"$6500000",Engineering,engineering@rwmanila.com,+63-2-8908-8833,Director of Engineering
San Miguel Corporation HQ,San Miguel Ave,Mandaluyong,Metro Manila,manufacturing,350000,1990,"$2500000",Facilities,facilities@sanmiguel.com.ph,+63-2-8632-3000,Facilities Director
Nestle Philippines Factory,400 Meralco Ave,Pasig City,Metro Manila,manufacturing,450000,1964,"$5200000",Plant Engineering,engineering@nestle.com.ph,+63-2-8631-8000,Plant Engineer
Procter & Gamble Philippines,Reliance St,Mandaluyong,Metro Manila,manufacturing,380000,1985,"$4500000",Facilities,facilities@pg.com.ph,+63-2-8878-5000,Facilities Manager
Unilever Philippines Factory,Pasong Tamo Ext,Makati City,Metro Manila,manufacturing,420000,1972,"$4800000",Plant Ops,plantops@unilever.com.ph,+63-2-8892-0101,Operations Manager
Coca-Cola Beverages Philippines,Meralco Ave,Pasig City,Metro Manila,manufacturing,500000,1981,"$5500000",Engineering,engineering@cocacola.com.ph,+63-2-8631-5001,Chief Plant Engineer
Universal Robina Corporation,Bagumbayan,Quezon City,Metro Manila,manufacturing,400000,1966,"$4600000",Plant Mgmt,plant@urc.com.ph,+63-2-8633-7070,Plant Manager
Monde Nissin Corporation,Bagong Ilog,Pasig City,Metro Manila,manufacturing,350000,1980,"$4000000",Engineering,engineering@mondenissin.com,+63-2-8634-8888,Plant Engineer
Alaska Milk Corporation,Quezon City,Quezon City,Metro Manila,manufacturing,280000,1972,"$3200000",Facilities,facilities@alaskamilk.com,+63-2-8374-6600,Facilities Head
Century Pacific Food Inc,Taguig,Taguig,Metro Manila,manufacturing,320000,1978,"$3600000",Plant Engineering,eng@centurypacific.com.ph,+63-2-8867-7777,Plant Engineer
Zest-O Corporation,Quezon Ave,Quezon City,Metro Manila,food_service,250000,1981,"$2800000",Plant Mgmt,plant@zesto.com.ph,+63-2-8732-0601,Plant Manager
De La Salle University,2401 Taft Ave,Manila,Metro Manila,education,750000,1911,"$3200000",Physical Plant,physicalplant@dlsu.edu.ph,+63-2-8524-4611,Director Physical Plant
Ateneo de Manila University,Katipunan Ave,Quezon City,Metro Manila,education,850000,1859,"$3500000",Facilities Mgmt,facilities@ateneo.edu,+63-2-8426-6001,Facilities Director
University of Santo Tomas,Espana Blvd,Manila,Metro Manila,education,1000000,1611,"$4000000",Physical Plant,physicalplant@ust.edu.ph,+63-2-8731-3101,VP for Admin Services
University of the Philippines Diliman,Diliman Campus,Quezon City,Metro Manila,education,1500000,1949,"$5500000",Engineering Dept,engineering@up.edu.ph,+63-2-8981-8500,University Engineer
Far Eastern University,Nicanor Reyes St,Manila,Metro Manila,education,450000,1928,"$1800000",Facilities,facilities@feu.edu.ph,+63-2-8735-6126,Facilities Manager
Mapua University,Muralla St Intramuros,Manila,Metro Manila,education,380000,1925,"$1600000",Physical Plant,physicalplant@mapua.edu.ph,+63-2-8247-5000,Plant Director
Lyceum of the Philippines,Real St Intramuros,Manila,Metro Manila,education,300000,1952,"$1200000",Facilities,facilities@lyceum.edu.ph,+63-2-8527-0514,Facilities Head
Adamson University,San Marcelino St,Manila,Metro Manila,education,320000,1932,"$1300000",Physical Plant,physicalplant@adamson.edu.ph,+63-2-8524-2011,Plant Manager
National University,M.F. Jhocson St,Manila,Metro Manila,education,350000,1900,"$1400000",Facilities Mgmt,facilities@national-u.edu.ph,+63-2-8712-1900,Facilities Manager
AMA Computer University,Project 8,Quezon City,Metro Manila,education,280000,1980,"$1100000",Admin,admin@ama.edu.ph,+63-2-8735-8888,Admin Director
Quezon City Hall,Elliptical Road,Quezon City,Metro Manila,government,500000,1952,"$2800000",General Services,gsd@quezoncity.gov.ph,+63-2-8988-4242,City Engineer
Manila City Hall,Padre Burgos Ave,Manila,Metro Manila,government,400000,1941,"$2200000",Engineering Dept,engineering@manila.gov.ph,+63-2-8527-0061,City Engineer
Makati City Hall,J.P. Rizal Extension,Makati City,Metro Manila,government,350000,1995,"$1800000",General Services,gsd@makati.gov.ph,+63-2-8870-1901,City Engineer
Taguig City Hall,Taguig City,Taguig,Metro Manila,government,280000,2010,"$1400000",Engineering,engineering@taguig.gov.ph,+63-2-8642-9806,City Engineer
Pasig City Hall,Caruncho Ave,Pasig City,Metro Manila,government,300000,1995,"$1500000",General Services,gsd@pasigcity.gov.ph,+63-2-8643-0000,City Engineer
Bangko Sentral ng Pilipinas,A. Mabini St,Manila,Metro Manila,government,600000,1991,"$3500000",Facilities Mgmt,facilities@bsp.gov.ph,+63-2-8708-7701,Director Facilities
Department of Finance Bldg,BSP Complex,Manila,Metro Manila,government,250000,1985,"$1400000",Admin,admin@dof.gov.ph,+63-2-8525-0244,Admin Director
Senate of the Philippines,GSIS Bldg Pasay,Pasay City,Metro Manila,government,320000,1997,"$1700000",General Services,gsd@senate.gov.ph,+63-2-8552-6601,General Services Director
House of Representatives,Batasan Complex,Quezon City,Metro Manila,government,450000,1978,"$2500000",Maintenance,maintenance@congress.gov.ph,+63-2-8931-5001,Chief Maintenance
National Museum of the Philippines,Padre Burgos Ave,Manila,Metro Manila,government,280000,1921,"$1200000",Admin,admin@nationalmuseum.gov.ph,+63-2-8527-1215,Museum Director
Robinsons Land Corp - Cyberscape Alpha,Sapphire Rd,Pasig City,Metro Manila,office,400000,2014,"$1600000",Building Mgmt,bldgmgmt@robinsonsland.com,+63-2-8397-1111,Building Manager
BDO Corporate Center,Ortigas Ave,Mandaluyong,Metro Manila,office,550000,2007,"$2200000",Facilities,facilities@bdo.com.ph,+63-2-8840-2000,Facilities Director
BPI Head Office,Ayala Ave corner Paseo de Roxas,Makati City,Metro Manila,office,420000,1990,"$1700000",Building Admin,admin@bpi.com.ph,+63-2-8816-9100,Building Manager
Metrobank Plaza,Gil Puyat Ave,Makati City,Metro Manila,office,380000,1985,"$1500000",Facilities,facilities@metrobank.com.ph,+63-2-8898-8000,Facilities Head
